"UMI_cellID","UMI_transID","target","x","y","z","tLLR_maxCellType","score_tLLR_maxCellType","SVM_class","transComp"
"c_1_51_238",495013,"CPA1",6398.78014072863,-4997.56272174141,3.2,"Acinar.1",0,1,"intraC"
"c_1_51_238",495014,"IMP3",6400.34367748619,-4997.56272174141,2.4,"Acinar.1",-1.92670008538087,1,"intraC"
"c_1_51_238",495015,"CPA1",6400.70464037899,-4997.56272174141,1.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",495016,"CEL",6401.54672818436,-4997.56272174141,0.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",495017,"PABPC1",6401.54672818436,-4997.56272174141,1.6,"Acinar.1",-0.511672957098427,1,"intraC"
"c_1_51_238",495018,"CEL",6401.54672818436,-4997.56272174141,1.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",495019,"ILVBL",6401.54672818436,-4997.56272174141,0.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",495020,"PRSS1",6401.90721424374,-4997.56272174141,1.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",495021,"CPB1",6402.14801511675,-4997.56272174141,3.2,"Acinar.1",0,1,"intraC"
"c_1_51_238",495022,"CPB1",6402.26817713654,-4997.56272174141,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",495023,"PLA2G1B",6402.50897800954,-4997.56272174141,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",495024,"ARHGDIA",6402.50897800954,-4997.56272174141,2.4,"Acinar.1",-0.438689200161226,1,"intraC"
"c_1_51_238",495025,"CEL",6402.62914002933,-4997.56272174141,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",495026,"CEL",6402.62914002933,-4997.56272174141,4.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",495027,"H4C16",6403.35058898151,-4997.56272174141,4,"Acinar.1",-0.00818019550385163,1,"intraC"
"c_1_51_238",495028,"H4C16",6403.35058898151,-4997.56272174141,3.2,"Acinar.1",-0.00818019550385163,1,"intraC"
"c_1_51_238",495029,"BHMT2",6403.47122783472,-4997.56272174141,0.8,"Acinar.1",-1.3836750563717,1,"intraC"
"c_1_51_238",495030,"PRSS1",6399.02094160163,-4997.44255972161,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",495031,"PRSS1",6399.14110362142,-4997.44255972161,3.2,"Acinar.1",0,1,"intraC"
"c_1_51_238",495032,"CELA2A",6399.50206651421,-4997.44255972161,4.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",495033,"RPLP2",6400.82480239877,-4997.44255972161,2.4,"Acinar.1",-0.131209854290324,1,"intraC"
"c_1_51_238",495034,"BIRC7",6400.94496441856,-4997.44255972161,1.6,"Acinar.1",-0.473367863681517,1,"intraC"
"c_1_51_238",495035,"CELA3B",6401.18576529157,-4997.44255972161,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",495036,"TP63",6401.18576529157,-4997.44255972161,3.2,"Acinar.1",-2.8995302759727,1,"intraC"
"c_1_51_238",495037,"CARD8",6401.42608933116,-4997.44255972161,5.6,"Acinar.1",-1.10671957917022,1,"intraC"
"c_1_51_238",495038,"SPINK1",6401.78705222395,-4997.44255972161,2.4,"Acinar.1",-0.0059743872601894,1,"intraC"
"c_1_51_238",495039,"TRAC",6402.02785309695,-4997.44255972161,3.2,"Acinar.1",-0.714927115557922,1,"intraC"
"c_1_51_238",495040,"CELA3B",6402.86946406892,-4997.44255972161,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",495041,"INKA1",6403.23042696172,-4997.44255972161,5.6,"Acinar.1",-1.1979069970288,1,"intraC"
"c_1_51_238",495042,"CELA3B",6399.38142766101,-4997.32239770182,2.4,"Acinar.1",0,1,"intraC"
"c_1_51_238",495043,"GAGE2D",6399.50206651421,-4997.32239770182,2.4,"Acinar.1",-0.736752918016979,1,"intraC"
"c_1_51_238",495044,"SYCN",6400.1033534466,-4997.32239770182,4.8,"Acinar.1",0,1,"intraC"
