clusters_unsup_harmony,cell_ID
5,c_1_205_2234
10,c_1_205_2235
10,c_1_205_2236
10,c_1_205_2237
2,c_1_205_2238
10,c_1_205_2241
3,c_1_205_2243
2,c_1_205_2245
2,c_1_205_2247
10,c_1_205_2248
3,c_1_205_2249
6,c_1_205_2250
5,c_1_205_2252
6,c_1_205_2253
2,c_1_205_2255
3,c_1_205_2257
5,c_1_205_2258
5,c_1_205_2259
2,c_1_205_2260
2,c_1_205_2261
5,c_1_205_2262
10,c_1_205_2264
5,c_1_205_2266
10,c_1_205_2267
2,c_1_205_2268
2,c_1_205_2269
2,c_1_205_2270
5,c_1_205_2271
2,c_1_205_2273
2,c_1_205_2274
5,c_1_205_2275
5,c_1_205_2276
9,c_1_205_2277
9,c_1_205_2279
2,c_1_205_2280
2,c_1_205_2281
10,c_1_205_2282
10,c_1_205_2283
3,c_1_205_2284
10,c_1_205_2285
2,c_1_205_2286
10,c_1_205_2287
2,c_1_205_2288
2,c_1_205_2290
10,c_1_205_2291
9,c_1_205_2292
9,c_1_205_2293
10,c_1_205_2294
5,c_1_205_2295
5,c_1_205_2296
3,c_1_205_2298
10,c_1_205_2299
1,c_1_205_2300
2,c_1_205_2301
5,c_1_205_2302
2,c_1_205_2303
3,c_1_205_2306
5,c_1_205_2307
10,c_1_205_2308
2,c_1_205_2309
8,c_1_205_2311
2,c_1_205_2312
2,c_1_205_2314
2,c_1_205_2315
5,c_1_205_2317
5,c_1_205_2319
2,c_1_205_2320
6,c_1_205_2322
2,c_1_205_2324
10,c_1_205_2325
9,c_1_205_2326
2,c_1_205_2327
2,c_1_205_2328
2,c_1_205_2329
9,c_1_205_2331
10,c_1_205_2332
3,c_1_205_2333
10,c_1_205_2334
3,c_1_205_2335
5,c_1_205_2336
2,c_1_205_2337
0,c_1_205_2338
